center,exp_type,series_order,x_label,feature_count,best_test_r2,best_epoch,final_test_r2,output_dir
congestion_price_da,topn,13,Top24,24,0.9990148544311525,142,0.9985566139221193,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/RedundantNoiseExplanation/RedundantNoiseExplanation_20260604_121500/CenterOn_congestion_price_da/TopNIncremental/DNN_top24
congestion_price_da,topn,14,Top32,32,0.985063374042511,120,0.9820007085800172,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/RedundantNoiseExplanation/RedundantNoiseExplanation_20260604_121500/CenterOn_congestion_price_da/TopNIncremental/DNN_top32
congestion_price_da,topn,15,Top40,40,0.9703415036201477,133,0.9633126854896545,E:\L1_GATE_DNN\NEW_PROJECT\outputs\data2025_Processed_V2\RedundantNoiseExplanation\RedundantNoiseExplanation_20260604_121500\CenterOn_congestion_price_da\TopNIncremental_L5\DNN_top40
congestion_price_da,topn,16,Top50,50,0.9701290130615234,140,0.9630725383758545,E:\L1_GATE_DNN\NEW_PROJECT\outputs\data2025_Processed_V2\RedundantNoiseExplanation\RedundantNoiseExplanation_20260604_121500\CenterOn_congestion_price_da\TopNIncremental_L5\DNN_top50
congestion_price_da,topn,17,Top60,60,0.9465810656547546,150,0.9465810656547546,E:\L1_GATE_DNN\NEW_PROJECT\outputs\data2025_Processed_V2\RedundantNoiseExplanation\RedundantNoiseExplanation_20260604_121500\CenterOn_congestion_price_da\TopNIncremental_L5\DNN_top60
congestion_price_da,full,9999,Full,69,0.9407544732093812,141,0.9247636795043944,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/RedundantNoiseExplanation/RedundantNoiseExplanation_20260604_121500/CenterOn_congestion_price_da/DNN_AllFeatures
da_as_total_mw_primary_reserve,topn,1,Top1,1,0.0699005126953125,145,0.0578649044036865,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/RedundantNoiseExplanation/RedundantNoiseExplanation_20260604_121500/CenterOn_da_as_total_mw_primary_reserve/TopNIncremental/DNN_top01
da_as_total_mw_primary_reserve,topn,2,Top2,2,0.6163492202758789,130,0.6115216612815857,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/RedundantNoiseExplanation/RedundantNoiseExplanation_20260604_121500/CenterOn_da_as_total_mw_primary_reserve/TopNIncremental/DNN_top02
da_as_total_mw_primary_reserve,topn,3,Top3,3,0.7346230745315552,150,0.7346230745315552,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/RedundantNoiseExplanation/RedundantNoiseExplanation_20260604_121500/CenterOn_da_as_total_mw_primary_reserve/TopNIncremental/DNN_top03
da_as_total_mw_primary_reserve,topn,4,Top4,4,0.8106717467308044,144,0.8084895610809326,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/RedundantNoiseExplanation/RedundantNoiseExplanation_20260604_121500/CenterOn_da_as_total_mw_primary_reserve/TopNIncremental/DNN_top04
da_as_total_mw_primary_reserve,topn,5,Top5,5,0.807039737701416,135,0.7965399622917175,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/RedundantNoiseExplanation/RedundantNoiseExplanation_20260604_121500/CenterOn_da_as_total_mw_primary_reserve/TopNIncremental/DNN_top05
da_as_total_mw_primary_reserve,topn,6,Top6,6,0.8091050386428833,143,0.7921879291534424,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/RedundantNoiseExplanation/RedundantNoiseExplanation_20260604_121500/CenterOn_da_as_total_mw_primary_reserve/TopNIncremental/DNN_top06
da_as_total_mw_primary_reserve,topn,7,Top8,8,0.8363010883331299,143,0.8319995403289795,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/RedundantNoiseExplanation/RedundantNoiseExplanation_20260604_121500/CenterOn_da_as_total_mw_primary_reserve/TopNIncremental/DNN_top08
da_as_total_mw_primary_reserve,topn,8,Top10,10,0.8777896165847778,145,0.8691732287406921,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/RedundantNoiseExplanation/RedundantNoiseExplanation_20260604_121500/CenterOn_da_as_total_mw_primary_reserve/TopNIncremental/DNN_top10
da_as_total_mw_primary_reserve,topn,9,Top12,12,0.8816705346107483,125,0.8667324781417847,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/RedundantNoiseExplanation/RedundantNoiseExplanation_20260604_121500/CenterOn_da_as_total_mw_primary_reserve/TopNIncremental/DNN_top12
da_as_total_mw_primary_reserve,topn,10,Top14,14,0.8825915455818176,106,0.8673333525657654,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/RedundantNoiseExplanation/RedundantNoiseExplanation_20260604_121500/CenterOn_da_as_total_mw_primary_reserve/TopNIncremental/DNN_top14
da_as_total_mw_primary_reserve,topn,11,Top16,16,0.8835418820381165,118,0.8755394220352173,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/RedundantNoiseExplanation/RedundantNoiseExplanation_20260604_121500/CenterOn_da_as_total_mw_primary_reserve/TopNIncremental/DNN_top16
da_as_total_mw_primary_reserve,topn,12,Top18,18,0.8854997754096985,61,0.8795769810676575,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/RedundantNoiseExplanation/RedundantNoiseExplanation_20260604_121500/CenterOn_da_as_total_mw_primary_reserve/TopNIncremental/DNN_top18
da_as_total_mw_primary_reserve,topn,13,Top24,24,0.8872305154800415,118,0.8861467838287354,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/RedundantNoiseExplanation/RedundantNoiseExplanation_20260604_121500/CenterOn_da_as_total_mw_primary_reserve/TopNIncremental/DNN_top24
da_as_total_mw_primary_reserve,topn,14,Top32,32,0.8544913530349731,142,0.8378753066062927,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/RedundantNoiseExplanation/RedundantNoiseExplanation_20260604_121500/CenterOn_da_as_total_mw_primary_reserve/TopNIncremental/DNN_top32
da_as_total_mw_primary_reserve,topn,15,Top35,35,0.8536369800567627,58,0.8420308232307434,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/RedundantNoiseExplanation/RedundantNoiseExplanation_20260604_121500/CenterOn_da_as_total_mw_primary_reserve/TopNIncremental/DNN_top35
da_as_total_mw_primary_reserve,topn,16,Top40,40,0.8476292490959167,118,0.8451125621795654,E:\L1_GATE_DNN\NEW_PROJECT\outputs\data2025_Processed_V2\RedundantNoiseExplanation\RedundantNoiseExplanation_20260604_121500\CenterOn_da_as_total_mw_primary_reserve\TopNIncremental_L5\DNN_top40
da_as_total_mw_primary_reserve,topn,17,Top50,50,0.8523608446121216,139,0.8323480486869812,E:\L1_GATE_DNN\NEW_PROJECT\outputs\data2025_Processed_V2\RedundantNoiseExplanation\RedundantNoiseExplanation_20260604_121500\CenterOn_da_as_total_mw_primary_reserve\TopNIncremental_L5\DNN_top50
da_as_total_mw_primary_reserve,topn,18,Top60,60,0.8634507060050964,67,0.8590125441551208,E:\L1_GATE_DNN\NEW_PROJECT\outputs\data2025_Processed_V2\RedundantNoiseExplanation\RedundantNoiseExplanation_20260604_121500\CenterOn_da_as_total_mw_primary_reserve\TopNIncremental_L5\DNN_top60
da_as_total_mw_primary_reserve,full,9999,Full,67,0.8494500517845154,74,0.8390399217605591,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/RedundantNoiseExplanation/RedundantNoiseExplanation_20260604_121500/CenterOn_da_as_total_mw_primary_reserve/DNN_AllFeatures
